university,academic_year,programme,degree_level,fee_status,fee_gbp,source,notes,course_code,extraction_date
Cambridge,2021/22,History and Modern Languages,BA,overseas,22227.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413177
Cambridge,2021/22,History and Politics,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413179
Cambridge,2021/22,History and Politics,BA,overseas,22227.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413180
Cambridge,2021/22,History of Art,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413182
Cambridge,2021/22,History of Art,BA,overseas,22227.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413182
Cambridge,2021/22,"Human, Social, and Political Sciences",BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413184
Cambridge,2021/22,"Human, Social, and Political Sciences",BA,overseas,22227.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413185
Cambridge,2021/22,Land Economy,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413187
Cambridge,2021/22,Land Economy,BA,overseas,22227.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413188
Cambridge,2021/22,Law,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413190
Cambridge,2021/22,Law,BA,overseas,22227.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413190
Cambridge,2021/22,Linguistics,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413192
Cambridge,2021/22,Linguistics,BA,overseas,22227.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413193
Cambridge,2021/22,Management Studies,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 2 (Sciences),,2025-09-16T18:55:32.413195
Cambridge,2021/22,Management Studies,BA,overseas,33825.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 2 (Sciences),,2025-09-16T18:55:32.413195
Cambridge,2021/22,Manufacturing Engineering,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 2 (Sciences),,2025-09-16T18:55:32.413197
Cambridge,2021/22,Manufacturing Engineering,BA,overseas,33825.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 2 (Sciences),,2025-09-16T18:55:32.413198
Cambridge,2021/22,Mathematics [1],BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413200
Cambridge,2021/22,Mathematics [1],BA,overseas,24789.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 1 (Humanities/Social Sciences),,2025-09-16T18:55:32.413201
Cambridge,2021/22,Medicine,BA,home,9250.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 4 (Medicine/Veterinary),,2025-09-16T18:55:32.413203
Cambridge,2021/22,Medicine,BA,overseas,58038.0,Cambridge official - undergraduate_tuition_fees_2021-22.pdf,Group 4 (Medicine/Veterinary),,2025-09-16T18:55:32.413203
